1000 outputs of genrand64_int64()
17562562048705863062 15048298056498507694  2284343177544526274  1609877805370075928  2938403672052750115 
10635451398913677224  3638307209361646982 14131293091129778198 11971002446868668940 16505145225988603741 
 1142496542835398479 12565911797699208510  9437408341055921689  1561275175630679961 17106864576761650589 
  888510004048590241  6166584443278558255 12431349564895753495 17555892073617194417  5712401624029601705 
15399442343297575355  2745036904513250583  5826732905682817752  5998118856402303019 14129717130241949200 
15889448940895595728  5864905971690099951 10403586323100334313  1806759963850506192 14792912123473827845 
12198602778743796701   139459985511438245 14186058051474309941 11640757256494311142  7366424351907418120 
13254147736855026714 12914798636812279429  9408216728942748691 17363991320071067797  1663516105127228597 
   29871494518279539  1339492239380661038 13512989951233546697 11100988218206659248  5938220320342706509 
 4195407433372996177 12178700270619074396  7540923825280746749  7408459997414398118  2509533337873745000 
13498003909542011376  7109759989401179816 13993693051458822863  8502129656833379990 12862003516880342550 
 9802304156502882175  1340649949996056506  1930041269997682888  1246030845747794762  7890163202178714944 
  609657645971565612  9116117744727580889 11488319659703051079  4266846807098193289  6926341818593046342 
15644908019189486067 12624106047017408107 16122334188382384161 10685387043415932198  1736937287072748286 
17508336955166530818 10765858864782285745  8046191214226247809 12668297279059790568 12320838896461634640 
15545433114672091560 14665004761542398279 15531451750316174918 13569818758892941869    75055848264486477 
17267508472106868178  9882044955251034135  8148523139087502892  2691791936650866922  1628423776586788512 
  878150610694730746  2693102692674183807   134834453369838089  5852578907772661102  7936234618891139804 
 4916163824254958943  8823071183475317534  9405970435828660417 14800458702634566974 11057278526703237362 
 2490101368509279625 17507892556270332772  3520130039161928978  6514895278059089771  4373192712892531396 
 1192448746835389406  3530773820261991933 17847120486081174729  3164748979673057460 10568950069330295615 
 8139480661500706993  6163314004941592045 11114070117899092398  9624835278783020349  4859531519280539260 
11067778901606744608 11912338366530633067 16621384041716596019 17526267551555096769 11617680467803388901 
 5339029209797634409  4470684717760829704  1546327078899158372 16231595574329392793  4210754456626593147 
18115271665297279379  7615477154715268073 16602360850216029614  2058932518079303113  4406567644134939473 
15404440996484783419  4470028798218295924  1132647758461682648  7836520933587424143  2430396527408234202 
16883625309083117437  2265494151661639477 12414567382190033480  1718478138301224158  5722840984566234708 
 3370195365962942946 12511947928562167769  7691667615017942872 12691754874531778278 15043429835371626238 
 5714266717540915754  1002133382684733325 17954808968505709313  8266360042311839242  1674478992132269107 
16679384935450440318  4981890325392063249 12017097943793534033  1702102311610179076 17139796779602792472 
 5797024974227819830  8248659163305065109  1184312956920798729 13668407364760411471   477048315935356286 
12315964391929754525  7020736149259777032 10659365760944977870 11231540744067485707 15267772591549124162 
17094258541743122873 15828246972207581620  5097388099105428210 13928908863016047924  1327247211819778404 
 7262750742523279041 15523820956586698942  8327350655456727190 13707996446132457223  1817525652436090614 
 9514600278927022624  7094927121881609173 11028297609400720974   608928915396656568 18320778529396460429 
 7242546157347403048  1953624767084421907 12056789370477693506 11061364855449064010  4787037519207723420 
 9859383892593095368  3757937775113578916 18275527293341167691  2083010584811152056 12699291151128286640 
17288656423070387904  3814586371259762622 11310218865119886303  4080825140613712472 17208954557746563190 
  861879733843989055 11010318815966149584 17985935581793548551  1641863104495133735 14693412504761098315 
 6338133689799580120 12928262437440762427  9508343256348307905 17864386026302825211  1726275591235673854 
 5442764826451140337 15326932490706295123 10246172445201684575  5734981812214809822 15006945364054949591 
13238043298526585340 16739561397592403743 12589877191584300966  4081410981187405570  7331135240746008221 
17879118785296666397  3033729419421589210 13464659370551601683  3849999112412496751 16111762951028941258 
17530024501182261806 16242926396934924267 13318741959230700121 10066956875176154237  7818678047508152052 
  247573486141158953 10323824506140936309  1001334192720233054  6620835699064982415  4935457305483379884 
 5378177733238130509 17177482866515555731  8910155336559311490 18394187390147014372  8163527210574991786 
 9686824263821683148  8474145827126578758 13687891815775631837  7927527871334478610 12248766625785385233 
 6036913999183446655  3036297794865424062 14791255810802299893 13927513610925820032 18175121352993740743 
11006678134323350594  2141142987703104843 16597329680766346153  2401880505972922721  3329511164727176840 
17457838045883715658  2626446135222190061 12766347672064764969 15879550860135281099 16118915217890509587 
 2571439292908388946  8313544146721476000  7478219134058887366  3023763368665274648  9036517540397778075 
15594634895151716286 11995392730126078478  7709775198676159714 16557651162767653277 13993918593230245960 
17678101033623237741  8422186468766031153 11619477438575722264  4333620702919057643  3462902405448729511 
 3453281567956015105  9780896931882147601  8905030528854217660 16505211277609204991  9876093208664102915 
 5944598361855410742  4288952911692070565  2591911367922153296  6938514061922054776 16537440785681922501 
17939601902776606197 11807064633131303236  9775573548279575157 18429912440382518383  1052250958890294674 
15781094428908745026 10961222649073249635  6381426906467355715  5987537254874922626  6029905708097521489 
15616237466956635592  6563210486758469142  5517741013071024295 16816008766300236912 12974854724642667325 
14972523013519876117 18114423817759877103   543930542427009277  5704205961788590448 11431047241639766344 
12592348469028176537  3042785010366086885  6633136797717735209  9896733409878493702 10377989570462398061 
18329413516139280728 18061408770521953060 13299908407518198651 18340800438509977681 14084522570143248685 
 1339046311886245466  3324818799254630943  6180286082174096195  7332780620703473567  9159206822161238042 
14442869622663947910  1259714795972298321  9059957534381756067  6095781082376947540  6313555381823421095 
11883737993773141475 17765542528338300300 10972041261208191413   658525545735363767 14862309001150158921 
 1742168317169049919  6431328768135145178  7415615332128994845  1277064664698328086 15069230115816635576 
 5497385110321762743  7178686447060509131 15666025595465680709 13958839861580738627 14176059710043686029 
17852576488496252642  9947176471951548974 12052229038013183058 18203527093384765950 11887247757086626200 
 4240364356565457705  7860753855229315795  1215754330267567448  5265752798119973580  1272004410898822488 
 2357148877638448313 13352957366966054016   621235847928734517  7272463643233070690  1629365680694016314 
 4641481272586281793 15057272054307061101  9381379054895826508 13525599387981329866 13168032263551133328 
17332090161112492145 11490771099057755320  4839810343261495892   253996107196447063  5137185646519857874 
  658369579622274722 15911782105295261920  2649505883545714789  3205651070236900487 17899811001769332545 
 2260631310153020368  7543456798898582040  4358914723310133848  4600890608741416519  7527902304188722694 
 9738107055276538843  5880549583142277581  1881450492127681690 12210855749936862852  8414668957207970601 
 4298861615987206711    66177584268840400 14509427277396594573  6535719634081549639  2906119394489747283 
 1544089763434898619 12457005191504434711  9537514128438196807  5989248502229850294  1376127120622468142 
 3065869178676525274   269607782218114420 17759537670839591362  1261466125184695505 16043693015644421681 
 1855321024745296701  2965538661918161695  1661971613116862191  2483897156210973830 16126475668505028189 
13863771559162813290  2866321299234606290 11932321258376229388  9323058540522612330 14611066275532150590 
  382873215705329112  3377475536169861301  8522296879284195619  8681170469858614639  2332692147035618467 
 9181470235342874851 11551832885194289114  7987020727292084081 16796832781673736371 10165213997079238369 
 2700199657549179385 11548792921428114181  6593136154109521385  4689063341796166751  1761047995569935723 
 7898520581700036218  9951147298110724377   833757178232231385  5988542235418957502 15228227656500133284 
 3933925972904365630 11867113479559680520  1615602326431035833 13939389134993248511  4894455182061100519 
 1812282495381570627  9613225498521129693  2243065815070826243  5331111157099149552 14519895089478826786 
12278133826102592475 15487707777176288233  1954704283534704651  6459368896868710680  6180186245544028010 
11561110954276611011  2234637329911072232 13051530580755712427 11386331971200620367  7196176271779954061 
 9730714034819866571   509846121775287283 12699425006423928278  9970468653197759339  8781619766888658199 
15775123449657440135  4150011883328038732  3562985074800814734  3572462000956657931  5842224506847349843 
 4218865706094912398  1749751606835447312 15045609997836480729 10880839820467321387   462216059267895567 
11727308247398267349 17325417521045953082 14699363700497081773 14727177674204908561  4694895201669741374 
15220533385347513556  7978909295851048229  1501801484913888121 11972677647119358731 10155240458494380331 
14266732667413820593 11127453147012182466  2914407083177363876 14924094213316671193   620857992062136275 
15488904390731191451 14099702052883460305  1264391116141713779  9231820482065875785 13041070017379135657 
 8740271669908916162  9734475428865545514  2173736749389938599 12247594750088998419  6929153660738634675 
 2631685020159364980 16474828206154875353 12271014482556317536  4504947551012827360 11546151136411240035 
 1378130256083350115 11347143073678892496 12019496095450679881 12872349571404767146 17398038838583806656 
 3607035602798172555 17176146641993536477  6825873801880320476  2381209348644258171 11949520255998574281 
 2424411016683031123 12209522343467972990 10505867864987528085 15778712147343811356 17869490101832684229 
 6274006898621604735 13750590189423258666 16281766773296395736 12742406672204320578  8537431173234612990 
15502022364775916769  8393419895731699251 13108336831323087423 18317205911790768396  2117287663191965075 
 3003244471889200322 16802181630836065324  9674661770563978879  2086292916468003024  9482954121965303499 
16264895175781393971 17112018908572264371 16813743736253540016  6161063339693286398  4625115315346906430 
18017476133598342856 15348210272597786997 13253926000953212103    80345053814951958  6103666291869532612 
 7404596139773709548 10443110885163475661  6778772319111666837  9142815336922372229 16246303131901570583 
 7688895623000676254  9464884235821397298 15993035789052496125  9312608998674761880 16325559225592918179 
18445337976061714442 11030987616865051764 17779786711921551015 15810069517931513114  9804476903841070242 
14266566562263787093  8551457382139674050 18029081695392470259  9755897672657270196  4206694457155746190 
  733091707323932513 17458860875101853833  9808741742296068074  8078948634144605560  9029211495956755681 
 2250221778593026394  9480308738913607079 11406051915952329116  6063659632411817097  2319267714787208012 
17109051902610274014  3989951505745599912 10313156969952022126 18182176380551299665  9729136275488202007 
16567396470964541767  8771080189994783270  8282333325605350328 17383247120180409908 10248425504864991942 
 5380264744574051332 18184805425815067618  3804586502137006823 10680461403246968209  3209084584806132002 
 8320068885857284707  5578200587548627667 17791241033055644843 18179834864418331990  7207237124857750943 
 3776863845089463144  7525011639302012475 11346263446772619279 17390121011412484355    11918542557799360 
  201011643964166299  1556542332933769326  6520893371878989270  7279605516111160374  4993909299762627380 
 5496954900561913350  5989038690440256879  2797795992523526680  7789184297648698047  2226009906688510428 
 9637845803705501265 13277520665712201481  6313059752676903405  6991430106911908247 18235311938770821192 
 9064644815846993240 18148111992461029423  7741062953591390857 12117685553190526861  7359810572344771991 
 9693516128580409384 13707759223765385524  4183742993843720503  7496136009336647066   549926642621228152 
15074469234218381564  3021094486503868317 11395619236219939267  6277601901926247035  4038961964974363510 
15006396574027685303 11982619281899010491  8363951703486544507 13284428928235722166 10081046116315136899 
14422830401033067281  8781967793093769099 10781796498187619888 13516459550466965980 15847667482790054982 
 7421164318430995354  1322458760137572790 14830728862524376026  7654613619881173580  2324636782196881066 
14899994942350945070 15423051979862149566   163352201405321536 15913675770349860086 15875611323081158728 
 1794069099449281126  8867035905421863351  3984670344709595827 14689230962819398327 17962410578161228571 
14271751753861503005  7911528401643983286 13984319806051713328 15065353623879192833  4736140616902568777 
 1972527051882001055 16559527251090437149 11592035887899353840  3995936409347191679  3651863092339143924 
10784976953401176242 10082226010360813925 11003880991727857259 12304784376485603412 11699272953094108917 
16505547778000252995  8088822436388925923  8547415282323365941 14146192520190488493  6910362785234346868 
 8926073363945085513 18266340941302504782  8850024949879174416  8310496870656719573  8332492303814300428 
 8715467089936554009 14521918290309670807 10497026983124320220  4665814470163811674  6125783938990286097 
 3124739850687315341  4895760505480989722 16352964750409321655  7919013412235466943  7153165580159903215 
 9203890459221472679 10457860344165998562  3733928407979490554 11160341671951199726  6280007173759077094 
 5444396158683586199 15045187750081334752 10546839169431187078 17300248667995534750 12603115843976605538 
 5506220470781210951 18290882829973108990  6333276811784964180  8219841300343735362  9787277046143957167 
   47798506549717475  3991960961723290105  7557670467098752541 11006883414392340811  4991934088845966639 
  147355310610411650  7093917623239584829  2186424768605230191 10102630715635533367 11003673559623055544 
 5903534404844529951  9695449791771792930    18614067812781704 11705016945588918535  7896361787877100671 
15302312567971143541  8246118577260760380  6466696872734981346  6235903293875011822 13884152457407992800 
17713510065326870033  1873375784620064072 11524500381064684295  3566891108594541213  3593680339987761891 
 9407924135190897842 15403902968360134793  7371394173806690560  3394264108564114260  2289870953754068749 
18370474209040368692 15581127135157504106  6943470066952633364  3196982885575904467  7427379971682929972 
 7110537158886087916 13400431992757985540  4953936988771982705 10171872977047087566  6925849104857306408 
 5361432069745541910 12962038708464235765 10462755641415229526 10381801100353675773 17786745674266424402 
 7590303415634047982  5283566021132218685 10235649907199949160  5388233954321794393 13829394579117629059 
 2168517375699294476 13975946911411359880 10075114102292078681 11056025248301029035  5630482199688990374 
 3733906721365205263  4681734216559657761 17147730929643435380 11632566657882689140  3530939072596068451 
 4269264289434069277  5734627451407915182 16624221255338196295  5122526352801966905  4290743875358689765 
13103527907507284474 15397992085456006446  2862498120224149103   691808465424059669 12993091818666173153 
 6268924427098107826 11111744525147335355  2235510548575928483 14720717265362708514  9095872999177795275 
13635834962626498457  8914700085848232608  6984185768988269903 15557753131557849288  7211843737093800035 
 6904184947118896014 11854868820006812472 13943374944809495492 18389111359035636997 15680403908801746616 
 4387617211158622571  5041154243256624037 13059372051031519668 13094584991055570273 17528620338588493222 
 8650670862304095128 11509840055511371108  4653823362114111865 11000396534249166148  6890532155899524457 
14816205455615564378  8748464245601291929  9332260069493935943  4998875307564013285 13576185967818787716 
14573743327739843604  7584126936420890675 10021569383568347184 14358823204933277800  3093623806952731102 
10380721633495247347  7575101669212000471  3259491815063880172 17732570179149965351  3764247727291967944 
13481786020148364509 18390083120577416665  4521052982037697193 12307997366159091502 13840208992374616212 
13359274197995960335 12904129158303992706   565066818411792954 16641599769877990007  1085285162856712939 
17011988242159481530  2033955841162464375  1026723275645520568   455459504841713181  7234504066212395620 
10019674668057391894  3648653710616897723 10179337167246486632 17048379992077522655 13955664705635590978 
10826842096608058719  1905532877732625259  1224709620833914221 15011777016550485189  6354834477981893231 
 1489661415891214329  7249583791048277945   100867512873076102  3349069353471427828  5825559934444277698 
15741443108549536061  4617656269981640965  5809767065087905683  6157714157370295634 18239165733143107938 
10315575807627747519 16810006236314873551  3204496702364961487 11975437565849230629 14815537069883557975 
 1110247169673174792   537686808002224016  5009296685803744005  5151991090235724114  9184288057206735769 
18037330820871625148 16607192291932114709  7590918973949530425  2467185880534330953 11707486511359958566 
11438700733722009398  8543511928296483664  6206507386015474473 10352103294239837158  6224123487111840034 
17629580215836619655  1655308921100879508  5269261303450707226 17611514029096855296  4478661561954702277 
 8618917068739996597 11589980594902893057  5631349035241368948  5687248749643006105 17923597433409894155 
15716490021024228215  1863872951966606049  5203386643925888668 10996943540781632185  5105937545162024170 
 1189260230511636425  5009045348497983067  1366189692032898724  2251560787666726999 10755162101575268326 
 6808807969322905817 15907785163553133751  3462434539481681792  9397582870967028796 17218954191297858715 
17459462575896577223  1685452929135021052 16617348876654115331  3860336409881561206 17998184618552861323 
 3750691550457214439  2582213466217108730  5573838780237512807  3066703109321596227  8514655396764365977 
 8313234882208719300  4167372819206621624  2114347738587262848 17988528629099746364 10980692621393385207 
 9645874636931509476  7873443639822111932  1888871626214827946  3421942728309333810   307750246816302396 
 6941269669013506031 12203114485804877037  1530843594757399437  3914329368701803456  1120190147689541834 
15144345465871122140  3733374169282382221  5424600659131510718 12263573640676208149 14398385015935117820 
15931078450090869719  9843150883269307537 14161668997938171109 17950460396354484067  6143171240627083628 
 9745055986457143185 10645253486986082213  7775529132226213099 16318566731642686153 15037745965992686795 
 1097087255414467984  9483909027192871248  6325542113386082236 11211159503882280583 14534461078716148039 
 7748551145264497510 16781220155787522467  2706526046627199960  9275326148378054826  1284096756771036326 
 4250299494645440079 17328719372296158454  2914861112371363175 13667573985760904094 17375240157528244136 
 5304179829314126311  3460658038650451735  5655434706325766020  4005623874374444539 14208527266259970699 
17816690320342971714 16240415710976511609  5442913029712561023  6459007025214835743  7781096007457690617 
 4304263323623246298 11450067910765310429  1903926053621216818  7804987284251506345  9055360433901118095 
 5873612938578207102  5172142113556597489 16110395612663232530 15835024512172292825  7107072699130037843 
 4322415049501410554  9609215790236508662 16496425974854998412  5564309639223631717  3630048090013674773 
10202882123556068220  8729254547178534195  8913326513003283211 12160755719635852292  8272703534982943803 
 4791549562189160468 11743190793898496155 14628304434500584441 15218583322129579242 16686501222143695941 
 4929168883176349487 16145903896020868484  1542047503392244854 11301309317810264256  3917868292203911157 
 8285268771535760009 10664306299020573108 13962183850282672172  2260086833943773781  4735826995915822550 
 7220383018458154196  8152086083139320493 11220202064510576802  3089924351488825154  5729790884329220640 
 2798849890598608665     6886650924468032  4625495792039121863  9765802076817202507 17009455118269783375 
10145253917647098533 10039636243682553136 14737101935026084759  7251798745658214929 11581952522299260054 
 9287665905563938233 11799275054645903904 11990434818985494569 17305389101003050260  2471039416397610241 
 4783810072630758173  3205269841994115446  5189650112536783315 13342790349453660451  4024784707492960390 
 3123778962294693230  8735842426697181117 10937148326781152262  1367851223646128367  3513168277592008596 

1000 outputs of genrand64_res53()
0.704728148913942 0.811742496039463 0.496334872723469 0.751299677497879 0.358983967135044 
0.221851375544091 0.504769223008749 0.663917122710774 0.672168609092063 0.438200520487107 
0.240749168742738 0.685947001016192 0.909602897746345 0.395754966028147 0.740615642943989 
0.335877410610554 0.934456982903849 0.417533495536413 0.456267958193744 0.334178081510237 
0.247390322505160 0.244731156008193 0.164550069190022 0.614568631971065 0.968701002744495 
0.033468305669698 0.905841205602294 0.455265672096782 0.142552924374833 0.952572848076959 
0.690858525023577 0.060866501453947 0.086430414633998 0.399452228059182 0.410995280051840 
0.147074823421738 0.816435588426609 0.958054652113379 0.106824419672751 0.677443199139938 
