1000 outputs of genrand64_int64()
 4652517487870907070  5257332112579851286 14537193733880281239 13331056260243152912  3468665243646811362 
  714508151866594221  1706210130519151657 17257751597240438568  1097724474749749392  1876941277382614229 
15409324504046036995  9455894932030575273 17914272765242159773   913219836915383875 15407774958307845177 
 6184735053488013176 10996797133737270952 15772033077909379138 17585718519002084773  3374529572921962135 
 8856347769313058814  3893772136910553038  4100785244025588253  6544603295661236210  7016906244646299532 
 3165440842458532419 11863418671699313922  6816048376431882830  9289312454647764507  8418861470148342364 
12183861295794015039 17910163570211859535  2884186382219280180 14209250794851483721 12974432574702352181 
 8995645504809679752 16923395759251958462  4707173965313226270 18321458549465510140 17715514209672801943 
15937466167584366107  3100800290583575932 12034049647540060014 11366780711329820660  2384805030818055882 
16903847221542039922  4433907016170980142 12618779830438250067  5689826491185398627  9682929546627219831 
 7467711815794820527  7637091480366112674 16638762565635006155 11557447298485996405  3898370434888070392 
 5437575265034422051  8762016706052686503   563342917475569799 16299953083226148045  9672428974262031439 
 6171227077830657370  4660819442498302325  5473122221986088087  1620338563777559739  8523463308288082755 
12883748012719156092 15211230720369259983 14783921039637903025 12989227861644393638  9924529389902854292 
12431171861577641821  9655793464111597059  6736628024147736870   267340546112072159   278135243971547363 
 8103609284752285108 13974986555993972164  5127221947142863127  1844560510259861369 10086177405753331223 
16521562060865199926 12965448410121737025  8043548790430388699  6237381897431979923  2303383243573021293 
 1578348464497761275 11153084147307829767  2102615203421058534 17944738405597056725   749814544209024942 
 3860626117171776475  6990587841458414626 14645299969686155642  4325015721652126426 15309914043002491992 
12176106584561484359 10201609144743663164 14180580798140865757  9300030376432821970  2793697202881880480 
10732794609618261902  3683247431497570018  8984426537208164988 12427409853017508609  8225463875915012217 
11071845844590097687 18224774003566500066  3998191023024101256  4990059670331247341 13212439010354177983 
 2651960384302746367  1574707447610397292 13045375515975224478 17921634263017844093  8142190465915019703 
15706186057695893300 15934282331688983149 16588939933799188398  9756779757935556123 12533209849358357795 
 4499998916151609231 10640720450168126639 11422318370169854872 13651108491282659647 14530114698427400729 
11746397180087813293 17536143217208360840  6788555194913678994 13063066128386911772 13754864545776056408 
17652472829068821949 10317996968858067329 16549344517067287093 12597391776736926092  7762195381308022340 
10371463271335344360  1914042230497116110  5278617367374399803 10909309366398354631  3985714587410888748 
16524123471628196278  9130105614937736803 12005684921225118159  8621157609329652886  5029823259389443463 
15697752626685278534  3636547820091766139 10088448478273978504 10082099878132888315   190396170917622642 
10321518978718847067 14287616187624868021 14367566926188962452 14507712781006760317  5175422533878281292 
 1946521367867763183  9903099957401998005  3038209074715833989  1755736328594042373  9335540939369307549 
 3121871632872529686 15450190971276684464 15964154878603202262   435154297967503815  8233049449634790800 
 5092500950886016210  3751991519026064874  3144515954624326914  4568017992763311543  7870323441279669594 
13468217693190724888 15661246644510496004  9102896155670302801  4813422850185750001 14643484948265589661 
  199751722352352208  4693959690288671711 13442874210202685475  1116398436426976233  2000172074621307409 
11932278834796699568  9929488869053843930  1169848651505332665  5724138643407746905 13854894030094137534 
12541628097917007238  8692469768940621860 15851045179380733364 15100132468627521966 17602667307469725083 
17635913711309186273 14470202083827495311 14625814417994265316 15852647092023600199  2808633134025754499 
 1261574424828313139  1670886697515480373  9349378143028478213  7897397643914461992  4543651544135255927 
14538721327216445111 10730504312378358738   573987524985370283  8679232824000277990  7987868439135914394 
 4519631790588304770 11166711604178648382 16760132735447351247 14508891501468134530 10497780114093274195 
