1000 outputs of genrand64_int64()
 4822196007334319421   656180328766058681 11342621812732241068 10617771702832518831 10466594143918135745 
15879965746820258655  9743230728109455656  5384374071880504157  3427359295097585072  2311818877690638476 
15097002537601703012 17552033448695350453 12547393732566480142  9158892952157136130 13312723498908365254 
14629759669815685861   116660086686730138 12290741236091645176 12358198298424110132 10743638158198842227 
  915313353915869075 14492617008224516723 15104164121175823033 13202240088288073701  2226985575882320964 
 3013368213387745369  9458521980732810983 17397426539864280014  6441760505356047647  2813292852324681116 
 1679347080991036116  5929985095807029731  8792694124514061044  8961645636397762058  4994584950575428496 
 7236462405058556349 14766936101182067875  4423555936886264412  1934878827463419149  4220683512490455896 
11008224968160348316 11173519770182550022   358099533955790527  8805255535590179755 12056548409635002306 
10226632984890745094   654780218131895379  5706422640267701589 14606248792437900250 16268813836623638723 
 8785595154298331658 13148488826617455610  2841019396650815654 16562366474660054700 16599783988094835834 
 6707314421161396994 16459646106288299015  2846391768972485712  8761148932629239259  1858881368317315281 
15174509685903438538 14089761303830007719 11481049749069822925  6493274369445484499 15711714298109461540 
 3418103570821167714  2914234457476633521  7335196832411210497  1240924725225262250 12868728540085023496 
 2146666205652854188  4603701770437690430  5222091496376792725 14554548935240258399  9472733364853300942 
16312325941188186369  1250342753752863501 16033098126264555002 17379336422858509497 17546710654623046579 
14429719375077109823 16992540766273598187  9199385883383714874  7919191799535670695  2395073245459368224 
 1934524014165455438  6236826895561170598 14403060610374945835 14246114326773027497  8757022985375618255 
 5399401072903423396 10278784309922871780  5618640665679395943   546772579957403767   470723834138267682 
 4249329254622222026 10052920644623376610 14996254581812146071  8760657684687828848 16156221779927786241 
17054831574856559109 13661195992311047267 17622552161498653609  1758136661956129365  6735709812889998902 
 6153289107366487681 15465724553582782966  7333967988195909421 18072849838775009827  9899911222082287246 
  161128548576531186 16384423782830559684 17796007800253350637 12478469911538954483  4197953223529641755 
15029241837714829428  2655308792324552879  5577999321124624476 15192534572477803465  2855112622275063172 
 3608120393334729702 14993446940098903318 15870636625011686969 13009231378851053020  2546131558575214987 
16188646685613237638 10110213196084241974 16884390282514940052 13661474528510271174   577041072966372198 
