1000 outputs of genrand64_int64()
10861756523816890815  4102928582100309052  2476006686188187472 14233821708778507152 11101478326033594241 
  984115664278983131   248415187522024226  8817535581557109825 11066911188444871550  6827116584861077176 
 7978923341560592387  5933397458174496125 10216093113281057244  6577753803937250103  1647998024732011434 
 3931614548483066275 16599256449824576565  2020380883770308922 13088667104112686412   900324824351812439 
 2060251845703382418  2402410658629001163 17375854687207993148 13893842769648254358 11574601016597830741 
15351495671440880653 15745958855531406377 17409876379500649887 15570255090177722864  3813943869504218430 
 7910104030690949601 17880749297355216913 15364897482186398583 16826638682722356785  3297109367691714776 
12060725063165318753  4526608271567075393  1370949748837383461   338447056922479459  9562919592542892161 
 5200116481826514480  7337235754300800434  9229879111515814675  7782660339583079865  5504203225973989495 
 5665492396876166472 15591062827989897455 14714439705014196567  3103614669617842515  9270873386240850083 
  771409656173446259 12198682989996206196  7568750054662909669  6809532921271325587  5586072712269452960 
16619166364760712836 13568616054626001196  9183468232124711625 17538110422536076781  3462061626557790493 
14114383400550514110  7195085932767175410  1052343931076343395 10646603887739239845 12938370296318039362 
 3517048786669462820 13381133340778280870  3295939236784885003  4000999860378026874  6582077303198975356 
 5115787653526471225  6418003966257593129  5552435212728598624  9906803527925773507 12982593558300535244 
 6934812719467791747  4960423568068392163  2275772952283583261 13288862853500489663  8539552491920156930 
16377699261071286207  6893043726463730634  9873314646033871219 15407481148731823736 13904359469437789663 
 1212773440684179213  3970002924807835959 15026436468810034421  9338952738110718532 10430630356279494680 
 2046531322354680263  5538400608965811139  1451816509536511300 11051922626922193551  4251793295168196211 
14479105088631706524  4362567234313043818 15872672943064505028 14548912168539096795  9210105477589510064 
17789960994328510549 18441520188700761244  5864378842396671198  7072816547420914642  1144276007817910397 
 2500749825934297483  2187418942109743514   621802925519863306  9719938157651140104   256544642632370031 
13843627664605424248 13563631271640534170  4468021075867719461  3377158566905425007 11359358012076492614 
 1950164869184100332  2943654060971990493  7202000734498613384 10669431650688475215  8633939335649886383 
18113808845922069415  8593862371132684734  4357126385726532578  5031982173836349503  6411409944370284202 
 4617965134292787226  1181961920578756052 14490289405977963435 11415325607739332771  5826640837380181842 
13071800280994849679   707096840118192761 18281359240752602102 13068324598805094942 11411820565375493578 
17897906311104311405   814248631835644410 10601145985078242161  5004522037389169164  2963462910576598057 
13695174229230912488 16806423304041061033  9145503266000703856 17540728106181586532  1212816748795472144 
 2264875281754307442   505372910801982349  5499520244650636422  1257772417612579651  5772127459490003612 
11764291017749146992  9395840704430551839  4193725937470167894  3080198614380518692 17392406313300803967 
 9322341680602498216 10841344447818630306  7559832450301121163 14008634991028932511 12470178672945476763 
 6350567437536858143 10605007875393723856 13575723160626147395  3653279551091255001 11738334652536945540 
13557452141871608123  3205731173983394717  5930227984727632117 12405169102184297653  4505964604017880062 
 8939959328382757943   493845328336026144 12930219378820559080 14645264529993885794  9375825545298748627 
15633886640324035902 17393471190310912177  3662675851818088838  3901239425224121947 13075787365571540386 
10069283478763442215  8005472437661530747 13987777536447030898 15016322553880152331 16041136023696964223 
14575369209174760997  5301888469977164663  2255076870875239033  5563099625666538846 12254349936150118773 
13178187164961982028  3329549336852176603 13513514119359076653 18264150660731183841 10783665439884113368 
 8790093635637507235 16634449100594520840  2405549058312601745 15592891211812709227  2806322057286674184 
 2093074550222881642  5297749357814618399  6935739365967620859  5593737974834666000  1129290111405279726 
18122431692389149806 11734491955371502517  1632810320589441430  8836441709871593859  5303436618218161755 
13322038361791430576  1087793893760913978  2951451046926940171 15832625886721335822 14325863498345038019 
16295137412940369070 18341383349703752456 13052103875778888788 11710745038383346793 12692543372140857497 
 5461132913016887815  4225686061502481600  3613195657754276609  7788013141590584685   911858825381241755 
 8424211931558388314  1656088866609945583 14092368112338657440  7303321388917078583  4516010306577309891 
 2870016249526635325  6179882007336930329 10738536306689006739 13900195157833390908 13002140035432848860 
11360575965410030704 16494768594124939951 11415909209788347121  1283177102068518704  8768575587901491547 
 5999868006053170289  4858689240665302463  4449423784309167543  1772088422511455832   541857623278650692 
  757773410128786379  2508548128493654960  3996178702111854776 11313336438110703319 10268255408806320521 
 1686779249191343032 11085463287713196308  4653110036857491380 10613760864917893554  6417025728540408277 
12007164788066160692  7610294563791553268 14197039781363060030 15999068271011146161 17272872931540115112 
 3239985577678500860  7622550003613297932 14155397090244893707   129332037384220918 10207935550847904509 
 7614722804171404309 14903243256560606858 13123475632816387956 16585343036708071140  5162109135690590812 
