1000 outputs of genrand64_int64()
17507700008639356561  8665553733187888917 14817229959964520192 10520412743747272963 12792578914821722733 
12482283867243138291 15564052100548080260  5467588809636480241  1105911109360678428  5858119579598890784 
 9316581519346554824 17495567354942755609 10298005337988611746  1027928061379474094 16719680862212913770 
14582299718621685065  2402359165543025718 15837048508897475412 18107098016557213592 10682807999582205151 
 3205236857246247999 13292688620336704991  9319270805115754773 13145483757691551817  4480877948279662568 
 6379526794082799605 15243310302250986827 17305635714223447138  8767710613021793971  6220545637025255984 
 5153889356040771960  5985968607035262543  6543024293337784664   938765796511928742  1556031986877478972 
 7292718174665025041 17016327209845792527 18169686732970120098 18197735189938130575  3261852156647084680 
 2943386684516287280  6508898172455863288 16332721963491925309  7918455462683009659  1679110621958085742 
 5523768182312427768 17241884475444871121  6406305752142236805  8840497018938886262  2342573964935278909 
11510621794194852232 11650351435109106218 10912578990709414666  2638346250659907410     4224469369288696 
 5387333086636927698  6084495302785062827  7477342740816178082 16052535506313575509 14933283851594147597 
 7172035429368232810  9505905163850203221  4037253443942224451 10154775933023664143  7716276916017188228 
 8001957665696036117 15915395119259663748  7007628358779448399 13270070637803180710 13530622294677404799 
 8768915601925737369  4280777157656378224 16242509224254695577 13883647680544103464  6274322278842574707 
16668984197654558142  1818824302727298712  2905273761549942189  5064577347963081252   664080191294527532 
11756488955360361098 16321367133409525148 12379830949804584327  7553583517614436632  2979937509634598069 
17007938052636793369 16278992175150104635  4419379672298835892 12597558521562437660  8131169031374134200 
11423856247190649881 10056737071611665755  5016645941758153202 17385614304635541536  3526257150833068735 
 5201252148878989337 12286945041522615067 15666461744248938720  3239088063474059981  7881397026884389618 
12587052676202942172  5431722975713299508 14044599875517232934 11452884166148873755 18240577661141455727 
 8326608019494028218  9369981002388478553  2098559121782674499  4060047670042009690  5892750211777705109 
 3772856763129579133 15414360007076542165 10696905304171242636  6144776443226072136  8533097692746757428 
14328045544620229061  4331493736791492718 10794500492009462343 16478997591530520390  1230751067489913493 
 5807825047447915911  2916541825949067693 10382579443581384723  7759655783852277796  4158526927222172426 
17521533039745246609 12765507461645973180  1557458077211831244 15941328774375043815  4273160505171500497 
 4927175735766295518 15212861487130910802 18383943452064667788 15084414338999827332 13187193865054754228 
16401739260175310057  4291875695897367865  9104337643889730754  6605370711607084386  2950504449668379668 
14326266916245860078 10724134781684908124 11379695135729644315 17694157414328859661  2289469173622087614 
 5133247971762335488 13604306401696739681  9888794063684244025 12147119265932574133 11529725569208712783 
17029979586612400643 10567245449148046795  6889854635809944647  5227964241050453980  4143482687742303964 
 2300669465029202024 17708927969744416783   836617408445488601 10664758658979173333  9988535445690473248 
 9105366815968050793  2519410341356197396    32741153872880609 10637291361342599407   127533663427532928 
 7897563396338207642   535100083040790835  9800744977163990533 13635857527425898651  3697912275498365288 
